claim_id,title,statement,status,layer,dependencies,not_claimed,first_document,first_version,first_date,doi,github_tag,commit_hash,website_url,failure_condition,downstream_claims
P4,Coarse-grained anti-recurrence: capacity recovery is not dis...,Coarse-grained anti-recurrence: capacity recovery is not distinction recovery.,Physical bridge,Physical bridge,FDS core finite capacity; FDS finite projection,,P4,v1.0,2026-05-18,,,,,Exact preimage recovery from truncated record alone without side records or hidden inverse information.,
P7,Topological obstruction: some task distinctions are protecte...,Topological obstruction: some task distinctions are protected against local forgetting by invariant structure.,Physical bridge,Physical bridge,P4-001; invariant quotient map; NHSE model class,,P7,v1.0,2026-05-18,,,,,"Invariant fails to suppress residual uncertainty, or local perturbation erases protected sector without protection-breaking event.",
P6,Speed-precision-dissipation bounds: boundary maintenance req...,Speed-precision-dissipation bounds: boundary maintenance requires finite update throughput.,Physical bridge,Physical bridge,FDS core finite capacity; P4 anti-recurrence; P7 invariant quotient,,P6,v1.0,2026-05-18,,,,,Finite system maintains arbitrarily fast and precise boundary tasks at fixed capacity and fixed resource with no extra cost.,
FDS-X2-001,CKM CP-Phase Lower Bound,"For a CKM-type N×N unitary charged-current mixing matrix, an irreducible physical complex phase exists if and only if N≥3.",Frontier Physical Consequences (P3),High-risk physical bridge,FDS core finite capacity; Kobayashi-Maskawa 1973,,FDS-X2,v1.0,2026-05-18,10.5281/zenodo.20289955,,,,A CKM-like two-generation weak sector is shown to possess a physical irreducible CP phase.,
FDS-X2-002,Weak-Sector CP/T Orientation Bridge,Weak-sector identity transformation requires a rephasing-invariant CP/T orientation.,Frontier Physical Consequences (P3),High-risk physical bridge,FDS-X2-001; CPT theorem,,FDS-X2,v1.0,2026-05-18,10.5281/zenodo.20289955,,,,"A complete physical account of the audited microscopic weak identity-changing channel with no CP/T orientation, no compensating asymmetry, and no hidden orientation variable.",
FDS-X2-003,Weak Charged Current as Identity-Transformation Carrier,The weak charged current is the Standard Model identity-transformation carrier.,Frontier Physical Consequences (P3),High-risk physical bridge,FDS-X2-002; Standard Model flavor physics,,FDS-X2,v1.0,2026-05-18,10.5281/zenodo.20289955,,,,Identity-changing weak-sector operations are realized by a different physical carrier outside the CKM charged current.,
FDS-X2-004,NCKM≥3 Conditional Theorem,NCKM≥3 follows from the X2 chain: weak identity update → T/CP orientation → irreducible CKM phase → NCKM≥3.,Frontier Physical Consequences (P3),High-risk physical bridge,FDS-X2-001; FDS-X2-002; FDS-X2-003,,FDS-X2,v1.0,2026-05-18,10.5281/zenodo.20289955,,,,"Failure of any premise: the CP/T-orientation bridge, CPT assumptions, the weak-carrier mapping, or CKM phase counting.",
FDS-X2-005,Exactly Three Generations as Minimality Bridge,Exactly three sequential chiral generations follow from minimality.,Frontier Physical Consequences (P3),High-risk physical bridge,FDS-X2-004; flavor-cost functional,,FDS-X2,v1.0,2026-05-18,10.5281/zenodo.20289955,,,,"Discovery of a fourth sequential chiral generation with Standard Model gauge charges and weak charged-current participation, or a successful N>3 flavor architecture that reduces the relevant cost functional.",
FDS-X2-006,Nonzero Leptonic Dirac CP Phase,"If the lepton sector participates in the same CP/T-oriented identity-transformation requirement, and if the relevant observable channel is the Dirac PMNS phase, then X2 motivates a nonzero leptonic Dirac CP phase.",Frontier Physical Consequences (P3),High-risk physical bridge,FDS-X2-002; PMNS phenomenology,,FDS-X2,v1.0,2026-05-18,10.5281/zenodo.20289955,,,,High-precision oscillation data establish δ_CP=0 or π under assumptions requiring leptonic CP/T-oriented identity transformation.,
FDS-X3-001,Token Stabilization Requirement,Finite distinction systems require token stabilization.,Frontier Physical Consequences (P3),High-risk physical bridge,FDS core; distinction persistence requirement,,FDS-X3,v1.0,2026-05-18,10.5281/zenodo.20274519,,,,"Stable material tokens exist with no encapsulation, binding, exclusion, protection, or stabilization mechanism.",
FDS-X3-002,Strong Interaction as Encapsulation,The strong interaction realizes hadronic/baryonic encapsulation.,Frontier Physical Consequences (P3),High-risk physical bridge,FDS-X3-001; QCD,,FDS-X3,v1.0,2026-05-18,10.5281/zenodo.20274519,,,,Hadronic stability is explained while confinement and color-neutral binding play no token-stabilizing role.,
FDS-X3-003,Remote Detectability Requirement,Finite distinction systems require remote detectability and compositional connection.,Frontier Physical Consequences (P3),High-risk physical bridge,FDS core; FDS-X3-001,,FDS-X3,v1.0,2026-05-18,10.5281/zenodo.20274519,,,,Complex persistent structures form without any long-range or mediating interaction enabling detectable coupling.,
FDS-X3-004,Electromagnetism as Connection,Electromagnetism realizes connection and communication among charged sectors.,Frontier Physical Consequences (P3),High-risk physical bridge,FDS-X3-003; QED,,FDS-X3,v1.0,2026-05-18,10.5281/zenodo.20274519,,,,"Electromagnetism is shown not to underwrite chemistry, radiation, sensing, or long-range charged communication.",
FDS-X3-005,Identity Transformation Requirement,Finite distinction systems require identity transformation and selective update.,Frontier Physical Consequences (P3),High-risk physical bridge,FDS core; FDS-X3-001; FDS-X3-003,,FDS-X3,v1.0,2026-05-18,10.5281/zenodo.20274519,,,,"Physical identity sectors never require conversion, decay, pruning, or irreversible update.",
FDS-X3-006,Weak Interaction as Identity Transformation,"The weak interaction realizes identity transformation, flavor change, and unstable-state pruning.",Frontier Physical Consequences (P3),High-risk physical bridge,FDS-X3-005; electroweak theory; FDS-X2,,FDS-X3,v1.0,2026-05-18,10.5281/zenodo.20274519,,,,"Flavor change, beta decay, and weak identity transformation are realized by another carrier.",
FDS-X3-007,Gravity as Global Boundary Accounting,Gravity realizes global boundary / causal geometry / stress-energy accounting.,Frontier Physical Consequences (P3),High-risk physical bridge,FDS-X3-001; general relativity,,FDS-X3,v1.0,2026-05-18,10.5281/zenodo.20274519,,,,"Gravity is shown to be unrelated to geometry, causal structure, horizons, stress-energy accounting, or global boundary constraints.",
FDS-X3-008,Minimal Distinction-Operation Closure,The four interactions form a minimal distinction-operation closure.,Frontier Physical Consequences (P3),High-risk physical bridge,FDS-X3-001–007,,FDS-X3,v1.0,2026-05-18,10.5281/zenodo.20274519,,,,"A fundamental interaction implements a genuinely independent operation class not reducible to encapsulation, connection, identity transformation, or global boundary accounting.",
FDS-X4-001,Nilpotent Fermionic Algebra,"Fermionic creation operators obey nilpotency $(a_i^\dagger)^2=0$, enforcing single-occupancy fermionic mode addresses.",Standard quantum algebra,Core / standard physics,FDS core; canonical anticommutation relations,,FDS-X4,v1.1,2026-05-19,10.5281/zenodo.20278029,,,,Identical Standard Model fermions are observed occupying the same complete quantum state.,
FDS-X4-002,Pauli Exclusion as Address Protection,Pauli exclusion protects single-fermion mode-address occupancy: a second identical fermionic occupancy event cannot be written into an already occupied address.,FDS interpretation,Physical bridge,FDS-X4-001,,FDS-X4,v1.1,2026-05-19,10.5281/zenodo.20278029,,,,Fermionic matter remains address-stable and structurally diverse without any single-address occupancy protection.,
FDS-X4-003,Exclusion Forces Structural Diversity,Pauli exclusion forces structural diversity in fermionic matter by distributing occupancy events across distinct addresses.,Physical / operational,Physical bridge,FDS-X4-002,,FDS-X4,v1.1,2026-05-19,10.5281/zenodo.20278029,,,,"Electrons can all occupy the same atomic state while shell structure, valence, chemistry, and matter stability remain unchanged.",
FDS-X4-004,Matter Stability from Antisymmetry,"Stability of bulk ordinary matter depends on fermionic antisymmetry, as established by Dyson-Lenard and Lieb-Thirring bounds.",Standard mathematical physics,Core / standard physics,FDS-X4-003; Dyson-Lenard; Lieb-Thirring,,FDS-X4,v1.1,2026-05-19,10.5281/zenodo.20278029,,,,Stability of bulk ordinary matter is proven and observed without exclusion-like fermionic antisymmetry or an equivalent mechanism.,
FDS-X4-005,Bosons Are Not a Violation,"Bosonic multiple occupation is not an X4 violation because bosonic mode occupation increases field amplitude, not independently address-protected fermionic occupancy events.",Conceptual caveat,Physical bridge,FDS-X4-001; Bose-Einstein condensation,,FDS-X4,v1.1,2026-05-19,10.5281/zenodo.20278029,,,,Bosonic mode occupation is shown to create multiple independently address-protected fermionic occupancy events at the same address.,
FDS-X4-006,Minimal Address-Protection Rule,"The Pauli rule $n_i\in\{0,1\}$ is the minimal address-protection rule among finite occupancy cutoffs for identical fermionic matter in ordinary $3+1$-dimensional relativistic QFT.",Minimality bridge,High-risk,FDS-X4-002; generalized statistics,,FDS-X4,v1.1,2026-05-19,10.5281/zenodo.20278029,,,,"Ordinary $3+1$-dimensional Standard Model fermions obey generalized finite occupancy $p>1$, or a lower-overhead alternative to nilpotent fermionic algebra is physically realized.",
FDS-X4-007,Degeneracy Pressure as Address Protection,Fermionic degeneracy pressure is the macroscopic expression of finite address protection.,Physical bridge,Physical bridge,FDS-X4-002; Chandrasekhar; TOV,,FDS-X4,v1.1,2026-05-19,10.5281/zenodo.20278029,,,,White-dwarf or neutron-star support occurs without fermionic degeneracy pressure or an equivalent exclusion-like pressure contribution.,
FDS-X4-008,Address Scarcity from Causal Reachability,"Address scarcity follows from the finite causal reachability boundary: within a finite causal horizon the number of distinguishable modes any system can resolve is bounded, making exclusive single-address occupancy the optimal strategy for maximizing structural diversity.",Physical bridge (P6 connection),Physical bridge,FDS-X4-002; FDS-P6,,FDS-X4,v1.1,2026-05-19,10.5281/zenodo.20278029,,,,Address scarcity exists and structural diversity is maintained without any finite causal horizon bound on distinguishable modes.,
FDS-X5-001,Finite Systems Cannot Represent All Detail,"Finite systems cannot internally represent all microstate detail. Exceeding finite capacity forces compression, approximation, externalization, or task relaxation.",Formal FDS core,Core / formal,FDS core; finite capacity theorem,,FDS-X5,v1.2,2026-05-19,10.5281/zenodo.20278236,,,,"A finite system internally represents unbounded environmental distinctions with no compression, externalization, task relaxation, or hidden capacity.",
FDS-X5-002,Stable Law-Like Regularities Require Invariant Compression,"Stable law-like regularities require invariant-form compression: a portable relation must factor through a strict-invariant, equivariant, or covariant sector.",FDS structural claim,Physical bridge,FDS-X5-001,,FDS-X5,v1.2,2026-05-19,10.5281/zenodo.20278236,,,,"Portable physical regularities persist with no invariant, equivariant/covariant form, symmetry, quotient, stable statistic, or compressed relation.",
FDS-X5-003,Equations Are Compressed Invariant Relations,"Mathematical equations are compressed representations of invariant-form relations that remain valid across an equivalence class of states, frames, scales, gauges, or perturbations.",Interpretive bridge,Philosophical bridge,FDS-X5-002,,FDS-X5,v1.2,2026-05-19,10.5281/zenodo.20278236,,,,"Exact physical laws require no compression, no form stability, no stable relational structure, and no finite representational economy.",
FDS-X5-004,Symmetries Reduce Rule-Maintenance Cost,Symmetries and covariance structures reduce rule-maintenance cost by replacing many case-specific rules with one orbit-level or representation-level rule.,Physical / information bridge,Physical bridge,FDS-X5-002; group theory,,FDS-X5,v1.2,2026-05-19,10.5281/zenodo.20278236,,,,Asymmetric local rule tables are physically cheaper and more stable than invariant or equivariant compressed rules under the same task requirements.,
FDS-X5-005,Wigner Puzzle Reframed,Wigner's puzzle is reframed by invariant-form compression: mathematics is effective because the portable part of physics is the part compressible into invariant-form structures.,Philosophical bridge,Philosophical bridge,FDS-X5-002; FDS-X5-003,,FDS-X5,v1.2,2026-05-19,10.5281/zenodo.20278236,,,,"Mathematics remains effective for law-like physics where no invariant/equivariant/covariant compression, symmetry, operator structure, quotient, or stable relation exists.",
FDS-X5-006,Constants as Model-Class Signatures,"Constants such as e, i, and related constants are model-class signatures that appear because of semigroup structure, coherent phase bookkeeping, geometry, or unit conventions, not numerological cosmic design.",Optional bridge,Philosophical bridge,FDS-X5-002; semigroup theory; quantum theory,,FDS-X5,v1.2,2026-05-19,10.5281/zenodo.20278236,,,,Their appearance is asserted as universal without model-class assumptions or is shown to be purely conventional in the relevant context.,
FDS-X5-007,Open Math Problems May Have Physical Analogues,"Some open mathematical problems (Riemann hypothesis, P vs NP, finite simple groups) may acquire physical analogues as spectra, partition functions, complexity gaps, or symmetry classifications.",Speculative appendix,Philosophical bridge,FDS-X5-002,,FDS-X5,v1.2,2026-05-19,10.5281/zenodo.20278236,,,,"Analogues are mistaken for derivations, predictions, or proofs.",
FDS-X5-008,RG Fixed Points as Invariant Compression,Renormalization-group fixed points are a model-class example of invariant-form compression: a relation whose form survives coarse-graining becomes law-like for finite observers.,Physical bridge,Physical bridge,FDS-X5-002; Wilson RG,,FDS-X5,v1.0,2026-05-19,10.5281/zenodo.20278236,,,,All physical law is shown to reduce strictly to RG fixed points; or no law-like relation survives coarse-graining through any RG-type transformation.,
FDS-T2-001,Bounded Distinguishability Budgets,Finite observers have bounded distinguishability budgets.,FDS / T1 bridge,Bridge,FDS-T1,,FDS-T2,v1.0,2026-05-19,10.5281/zenodo.20284911,,,,A finite physical observer reliably registers, preserves, and updates unlimited distinctions with finite resources.,
FDS-T2-002,Horizons as Causal-Access Boundaries,Horizons act as causal-access boundaries.,GR / QFTCS bridge,Bridge,General relativity,,FDS-T2,v1.0,2026-05-19,10.5281/zenodo.20284911,,,,Local causal horizons are irrelevant to observable access, entropy, or thermodynamic accounting.,
FDS-T2-003,Horizon Entropy as Area Accounting,Horizon entropy gives boundary area accounting.,Physical bridge,Physical bridge,Bekenstein-Hawking entropy,,FDS-T2,v1.0,2026-05-19,10.5281/zenodo.20284911,,,,Horizon entropy is shown not to scale with boundary area in the stated horizon class.,
FDS-T2-004,Clausius-Type Horizon Closure,"Clausius-type local horizon closure links heat flow and entropy variation.",Model-class bridge,Bridge,Jacobson 1995,,FDS-T2,v1.0,2026-05-19,10.5281/zenodo.20284911,,,,Local horizon thermodynamics fails as an effective equation-of-state model.,
FDS-T2-005,Effective Geometry as Boundary Accounting,"Effective geometry can be read as boundary thermodynamic accounting for finite observers.",Main T2 thesis,Physical bridge,FDS-T2-001; FDS-T2-002; FDS-T2-003; FDS-T2-004,,FDS-T2,v1.0,2026-05-19,10.5281/zenodo.20284911,,,,Geometry is shown to have no relation to causal access, horizon entropy, stress-energy flow, or boundary constraints.,
FDS-T2-006,Non-Equilibrium Residual Terms,Non-equilibrium horizon accounting may require residual terms.,Optional extension,Bridge,FDS-T2-005,,FDS-T2,v1.0,2026-05-19,10.5281/zenodo.20284911,,,,All non-equilibrium horizon settings obey pure equilibrium closure with no entropy production, memory, noise, or correction terms.,
FDS-Q1-001,Finite Distinction-Registers,Observers are finite distinction-registers.,O1 operational bridge,Bridge,FDS-O1,,FDS-Q1,v1.0,2026-05-19,10.5281/zenodo.20289215,,,,Registered observations require no finite carrier, boundary, readout, record stability, or update capacity.,
FDS-Q1-002,Facts Indexed by Record Boundaries,"Operationally assertable quantum facts are indexed by accessible record boundaries.",Q1 bridge,Physical bridge,FDS-Q1-001,,FDS-Q1,v1.0,2026-05-19,10.5281/zenodo.20289215,,,,Operational facts can be asserted by a finite observer without any stable accessible record or reproducible trace.,
FDS-Q1-003,Wigner-Friend as Boundary-Promotion Problem,Wigner-friend tension is a boundary-promotion problem.,Main Q1 thesis,Physical bridge,FDS-Q1-001; FDS-Q1-002,,FDS-Q1,v1.0,2026-05-19,10.5281/zenodo.20289215,,,,Contradictions persist after all accessible record boundaries, channels, and state-assignment domains are separated.,
FDS-Q1-004,Mutual Information Required for Promotion,"Friend-relative records require mutual information before promotion into Wigner's algebra.",Information-theoretic bridge,Physical bridge,FDS-Q1-003,,FDS-Q1,v1.0,2026-05-19,10.5281/zenodo.20289215,,,,A Wigner-accessible fact is obtained with vanishing cross-boundary mutual information and no physical record channel.,
FDS-Q1-005,Ignorance Is Not Coherence,Wigner's ignorance is not physical coherence.,Scope firewall,Bridge,FDS-Q1-001,,FDS-Q1,v1.0,2026-05-19,10.5281/zenodo.20289215,,,,The paper is interpreted as inferring coherent lab states from missing classical information alone.,
FDS-Q1-006,Objective Availability Requires Redundancy,"Objective availability requires redundancy, access, and record stability.",Testable bridge hypothesis,Physical bridge,FDS-Q1-003; quantum Darwinism,,FDS-Q1,v1.0,2026-05-19,10.5281/zenodo.20289215,,,,Observers converge on macroscopic records without redundancy, access, or stable records.,
FDS-Q1-007,Not a Born-Rule Derivation,Q1 does not derive Born probabilities.,Scope firewall,Bridge,FDS-Q1-001,,FDS-Q1,v1.0,2026-05-19,10.5281/zenodo.20289215,,,,The paper is interpreted as a probability or Born-rule derivation rather than a conditional record-availability theory.,
FDS-Q2-001,Logical Qubits as Protected Quantum Distinctions,Logical qubits are protected quantum distinctions.,FDS/QI bridge,Bridge,FDS core; QEC theory,,FDS-Q2,v1.0,2026-05-19,10.5281/zenodo.20302569,,,,Logical information cannot be represented as a protected code quotient or logical algebra.,
FDS-Q2-002,QEC as Active Finite-Distinction Maintenance,"QEC is active finite-distinction maintenance.",Main Q2 interpretation,Physical bridge,FDS-Q2-001,,FDS-Q2,v1.0,2026-05-19,10.5281/zenodo.20302569,,,,Logical distinctions are preserved under noise with no redundancy, syndrome information, feedback, passive protection, or maintenance channel.,
FDS-Q2-003,Threshold Theorem as Conditional Baseline,Threshold theorem is accepted as conditional baseline.,Scope firewall,Bridge,Threshold theorem,,FDS-Q2,v1.0,2026-05-19,10.5281/zenodo.20302569,,,,The paper is read as refuting the threshold theorem rather than auditing its physical assumptions.,
FDS-Q2-004,Correction Demand as Vector Ledger,Correction demand is a vector ledger.,Engineering bridge,Physical bridge,FDS-Q2-002,,FDS-Q2,v1.0,2026-05-19,10.5281/zenodo.20302569,,,,Syndrome, decoding, reset, latency, cooling, and control demands can be collapsed into one scalar without losing bottleneck information.,
FDS-Q2-005,Landauer Lower Bound on Irreversible Reset,Irreversible reset has a Landauer lower bound.,Physical bridge,Physical bridge,Landauer 1961,,FDS-Q2,v1.0,2026-05-19,10.5281/zenodo.20302569,,,,Reliable logically irreversible reset below kT ln2 per erased bit under standard Landauer conditions.,
FDS-Q2-006,Cold-Stage Ledger Constraints,"Cryogenic solid-state systems face cold-stage ledger constraints.",Architecture-specific claim,Physical bridge,FDS-Q2-004; FDS-Q2-005,,FDS-Q2,v1.0,2026-05-19,10.5281/zenodo.20302569,,,,Large-scale cryogenic processors maintain falling logical error while all cold-stage power, routing, latency, and reset ledgers remain within budget.,
FDS-Q2-007,Passive Protection Reduces Active Load,"Topological/passive protection can reduce active load.",Escape-channel bridge,Physical bridge,FDS-Q2-002,,FDS-Q2,v1.0,2026-05-19,10.5281/zenodo.20302569,,,,Passive protection removes preparation, finite-temperature, readout, braiding, leakage, and residual correction costs entirely.,
FDS-Q2-008,Failure Propagation Rule,Q2 failure does not falsify FDS Core or Q1.,Failure propagation rule,Bridge,FDS-Q2-001; FDS-Q2-002,,FDS-Q2,v1.0,2026-05-19,10.5281/zenodo.20302569,,,,Architecture-specific failure is treated as failure of the formal finite-system core or quantum mechanics.,
FDS-B0-001,Finite Observer Bound,"Finite observer bound applies to biomedical knowledge.",Formal bridge,Bridge,FDS Core,,FDS-B0,v1.0,2026-05-19,10.5281/zenodo.20312983,,,,Biomedical knowledge is acquired and maintained without any finite carrier, memory, or update constraint.,
FDS-B0-002,Modeling Not Diagnosis,"Biomedical FDS mapping is modeling, not diagnosis.",Governance firewall,Bridge,FDS-B0-001,,FDS-B0,v1.0,2026-05-19,10.5281/zenodo.20312983,,,,The mapping is interpreted as clinical diagnosis without independent validation.,
FDS-B0-003,Domain Bridge Status,B-series claims are domain bridges.,Governance firewall,Bridge,FDS-B0-002,,FDS-B0,v1.0,2026-05-19,10.5281/zenodo.20312983,,,,A B-series claim is treated as proven clinical fact without biomedical validation.,
FDS-B0-004,Claim-Level Hierarchy,"Claim-level hierarchy (B-L0 to B-L5) governs interpretation.",Registry governance,Bridge,FDS-B0-003,,FDS-B0,v1.0,2026-05-19,10.5281/zenodo.20312983,,,,A lower-level claim is cited as if it were clinically actionable.,
FDS-B0-005,Translation Barrier,Translation barrier prevents clinical overreach.,Safety firewall,Bridge,FDS-B0-004,,FDS-B0,v1.0,2026-05-19,10.5281/zenodo.20312983,,,,FDS biomedical language is used in clinical decision-making without independent validation.,
FDS-B0-006,Mechanism Non-Replacement Rule,Mechanism non-replacement rule.,Governance rule,Bridge,FDS-B0-001,,FDS-B0,v1.0,2026-05-19,10.5281/zenodo.20312983,,,,FDS classification is used to replace validated biomedical mechanisms.,
FDS-B0-007,Maintenance Debt Concept,Maintenance debt as accumulated repair-verification mismatch.,Non-clinical concept,Bridge,FDS-B0-001,,FDS-B0,v1.0,2026-05-19,10.5281/zenodo.20312983,,,,Maintenance debt is treated as a clinical biomarker before validation.,
FDS-B0-008,Failure Propagation Rule,B0 failure does not falsify FDS Core.,Propagation rule,Bridge,FDS-B0-001,,FDS-B0,v1.0,2026-05-19,10.5281/zenodo.20312983,,,,B-series failure is interpreted as failure of the formal FDS core.,
B1-001,Boundary Verification,"Immune systems can be modeled as finite-capacity boundary-verification architectures.",Domain bridge (B-L2),Domain Bridge,B0 biomedical governance; FDS core capacity definitions,,FDS-B1,v1.0,2026-05-21,10.5281/zenodo.20327539,,,,Immune response can be fully organized without finite classification, memory, resource, boundary, or verification roles.,
B1-002,Admission Before Action,"Immune action requires admission and classification of candidate distinctions before downstream response.",Domain bridge (B-L2/B-L3),Domain Bridge,B1-001; recognition-admission-verification-action pipeline,,FDS-B1,v1.0,2026-05-21,10.5281/zenodo.20327539,,,,Action is empirically independent of admission, classification, memory, or context in the specified model.,
B1-003,Multiaxis Classifier,"Immune classification is better modeled as a boundary-state vector than as a single self/non-self label.",Domain bridge (B-L2),Domain Bridge,B1-001; multiaxis classification,,FDS-B1,v1.0,2026-05-21,10.5281/zenodo.20327539,,,,A one-dimensional label captures all relevant verification behavior in the declared system.,
B1-004,Verification Saturation,"High candidate-distinction load should produce delay, broad default action, reduced specificity, false positives/negatives, or FDS-resolution failure.",Domain bridge (B-L3),Domain Bridge,B1-001; verification saturation; VLR control number,,FDS-B1,v1.0,2026-05-21,10.5281/zenodo.20327539,,,,Increasing verification burden produces no change in accuracy, delay, alarm load, resource use, or resolution.,
B1-005,Memory-Tolerance Tradeoff,"Immune memory reduces future verification cost but can produce drift, overgeneralization, or tolerance risk.",Domain bridge (B-L3),Domain Bridge,B1-001; memory-tolerance tradeoff,,FDS-B1,v1.0,2026-05-21,10.5281/zenodo.20327539,,,,Memory has no measurable cost, drift, or threshold effect in the declared system.,
B1-006,Adversarial Sabotage,"Some perturbations actively consume verification capacity or modify classification.",Domain bridge (B-L3),Domain Bridge,B1-001; adversarial distinction injection model,,FDS-B1,v1.0,2026-05-21,10.5281/zenodo.20327539,,,,Evasion-like processes never alter Y, pi, M, Phi, or C_verify in declared models.,
B1-007,Distributed Spatial Latency,"Immune verification is constrained by routing, migration, amplification, and return times.",Domain bridge (B-L3),Domain Bridge,B1-001; spatial latency graph model; SLR control number,,FDS-B1,v1.0,2026-05-21,10.5281/zenodo.20327539,,,,Spatial latency has no measurable effect in systems where local damage timescale is shorter than verification time.,
FDS-G1-001,Finite Causal-Screen Entropy Response,"Finite causal-screen capacity defines an entropy-response substrate for local gravitational coupling, with Onsager-type stochastic screen dynamics producing Raychaudhuri-like capacity-flow normal forms.",Exact-pilot evidence-selected,Physics — Gravity 1,FDS-T1-001; FDS-T2-001,Not deriving GR from first principles.,FDS-G1,v1.0-rc,2026-05-25,10.5281/zenodo.20382013,,,,No distinguishable gravitational coupling beyond standard GR+LambdaCDM.,
FDS-G1-002,3/4 Projection Lock,"Under optical port isotropy, Weyl-active unimodular sector occupies 3 of 4 optical dimensions (kappa=3/4).",Exact-pilot evidence-selected (survives wide-prior),Physics — Gravity 1,FDS-G1-001; FDS-T2-001,Not unique without isotropy.,FDS-G1,v1.0-rc,2026-05-25,10.5281/zenodo.20382013,,,,Free-kappa decisively beats M34 under production evidence.,
FDS-G1-003,Background–Weyl Residual Fingerprint,"s<3, mu=1, Sigma-1 = -(3/4)(3-s)Rhat_H(a). Sparse projection-locked residual, not flexible fit.",Exact-pilot evidence-selected; ranked first,Physics — Gravity 1,FDS-G1-002; FDS-X1-001; FDS-X1-002,Not uniquely identifying microscopic kernel.,FDS-G1,v1.0-rc,2026-05-25,10.5281/zenodo.20382013,,,,Six pre-specified demotion paths: free-kappa, const-Sigma, mu leakage, free amplitude, CPL/LCDM, lensing failure.,
FDS-G1-004,Six-Model Nested Evidence Hierarchy,"M34 > Mkappa > constSigma > G1DE-2 > CPL > LCDM with Delta logZ margins of 0.97, 1.92, 6.70, 9.43, 11.96.",Claim — exact-pilot; production pending,Physics — Gravity 1,FDS-G1-003; FDS-X1-004,Not production-confirmed.,FDS-G1,v1.0-rc,2026-05-25,10.5281/zenodo.20382013,,,,Ranking fails under production evidence or independent replication.,
FDS-G1-005,Finite Markov-Screen Realization,"G1DE-M34 normal form is realizable by finite detailed-balance Markov screen (kappa=3/4, Gamma_H=2*epsilon*r_H, rank-one horizon output).",Realizability prototype (not unique microphysics),Physics — Gravity 1,FDS-G1-002; FDS-G1-003,Not deriving true microscopic finite-screen state family.,FDS-G1,v1.0-rc,2026-05-25,10.5281/zenodo.20382013,,,,Finite Markov-screen class cannot realize projection+horizon+Ricci conditions simultaneously.,
FDS-G1-006,Falsification Contract,"G1DE carries six pre-specified demotion paths. No free A(a,k). Every residual must close a conservation law or be demoted.",Governance,Physics — Gravity 1,FDS-G1-004,Not immune to new data.,FDS-G1,v1.0-rc,2026-05-25,10.5281/zenodo.20382013,,,,G1DE collapses to generic dark-stress model.,
FDS-H1-001,Finite Causal-Screen Holography,"Holography is finite boundary distinction recovery under screen-capacity constraints.",Released (v0.21),Physics — Gravity 1 / H-series,"Standard AdS/CFT; RT/FLM; holographic QEC; Bousso",Defines finite-screen architecture; does not derive G1/M3/4.,FDS-H1,v0.21,2026-06-04,10.5281/zenodo.20541234,,,,Finite boundary recovery cannot be captured by screen capacity/recovery nets/gluing obstruction.,
FDS-H1-002,Finite Recovery-Net Theorem (Exact Nerve-Graph),"On each connected component of the nerve graph, path-independent recovery iff all cycle holonomies vanish.",Restricted theorem,FDS-H1-001,Proof restricted to finite covers with invertible transition maps.,FDS-H1,v0.21,2026-06-04,10.5281/zenodo.20541234,,,,Recovery consistency cannot be captured by loop holonomy in finite models.,
FDS-H1-003,Finite Recovery-Net Theorem (Lipschitz Tolerant),"Under Lipschitz transition maps recovery error accumulates as product-weighted sum; 1-Lipschitz corollary gives simple sum.",Restricted theorem,FDS-H1-002,Requires Lipschitz condition; non-expansive case is a corollary.,FDS-H1,v0.21,2026-06-04,10.5281/zenodo.20541234,,,,Finite recovery error bounds cannot be established under Lipschitz transition maps.,
FDS-H1-004,Matched Local Entropy / Split Recovery,"There exist finite boundary ledgers with identical local marginal entropy H(B_i) but different recovery errors.",Proposition (constructive),FDS-H1-001,Constructed via redundancy code and parity code; not all boundary configurations.,FDS-H1,v0.21,2026-06-04,10.5281/zenodo.20541234,,,,Recovery error is entirely determined by local marginal entropy in all controlled models.,
FDS-Q0-001,Physical Distinguishability as Directed Boundary Access,Physical distinguishability is first directed boundary access.,FDS primitive / definition,Physics - Quantum upstream,,"All operational record production, erasure, and recovery are symmetric without boundary cost or accessibility structure.",FDS-Q0,2026-06,2026-06-04,10.5281/zenodo.20542105,,,,"All operational record production, erasure, and recovery must be symmetric.",FDS-Q0-002
FDS-Q0-002,Zero-Holonomy Quotient-Consistency Theorem,Zero record holonomy makes the reversible quotient well-defined; in the restricted quantum-access category the induced kernel is symmetric.,Restricted quotient-consistency theorem,Physics - Quantum upstream,FDS-Q0-001,"Does not derive CP^{N-1}, Born rule, or full Hilbert reconstruction.",FDS-Q0,2026-06,2026-06-04,10.5281/zenodo.20542105,,,,"A closed, record-neutral, zero-holonomy sector fails to admit any well-defined symmetric quotient kernel.",FDS-Q0-003
FDS-Q0-003,Hilbert QM as Zero-Holonomy Sector,Hilbert quantum mechanics is the finite-capacity zero-holonomy sector.,Conditional theorem target,Physics - Quantum upstream,FDS-Q0-002,Not yet proved in Q0.,FDS-Q0,2026-06,2026-06-04,10.5281/zenodo.20542105,,,,"A non-Hilbert reciprocal finite-capacity quotient satisfies reversible dynamics, composition stability, and no hidden record asymmetry.",FDS-Q0-004
